epoch,loss,accuracy,val_loss,val_accuracy
1,3.536521673202514,0.0635634064674377,3.1752772331237797,0.1282051354646682
2,3.1312615871429443,0.1216693446040153,2.4907476902008057,0.2905983030796051
3,2.7204511165618896,0.2089887708425521,1.7375977039337158,0.5071225166320801
4,1.9420546293258667,0.4372391700744629,1.1875386238098145,0.7264957427978516
5,0.949894905090332,0.7345104217529297,0.4984064698219299,0.9088318943977356
6,0.3948276937007904,0.898876428604126,0.6888326406478882,0.9515669345855712
7,0.2728908956050873,0.9428571462631226,0.3843523859977722,0.9515669345855712
8,0.1501619517803192,0.9727126955986024,0.3094455003738403,0.9601139426231384
9,0.0995608195662498,0.9778491258621216,0.2997367084026336,0.9629629850387572
10,0.0773232653737068,0.9829855561256408,0.3102369308471679,0.9686609506607056
11,0.0691790729761123,0.9871588945388794,0.4182239770889282,0.9572649598121644
12,0.0682294517755508,0.9849117398262024,0.2993184626102447,0.9629629850387572
13,0.0563073456287384,0.9874799251556396,0.3724845647811889,0.9629629850387572
14,0.0579701289534568,0.984269678592682,0.2437422424554824,0.9658119678497314
15,0.0380414612591266,0.9890850782394408,0.2728296518325805,0.9686609506607056
